GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
tp1,fr.univtln.bruno.samples.java101.tp1.builder,AddressWithBuilder,11,25,0,0,2,8,2,4,2,4
tp1,fr.univtln.bruno.samples.java101.tp1.builder,AddressWithBuilder.Builder,0,47,0,0,0,12,0,5,0,5
tp1,fr.univtln.bruno.samples.java101.tp1.factory,PersonFactory,5,29,1,1,0,6,1,3,0,3
tp1,fr.univtln.bruno.samples.java101.tp1,Person,117,60,14,2,16,16,16,7,9,6
tp1,fr.univtln.bruno.samples.java101.tp1,Address,27,90,8,10,6,14,11,8,3,7
tp1,fr.univtln.bruno.samples.java101.tp1,Demo,54,0,2,0,17,0,4,0,3,0
tp1,fr.univtln.bruno.samples.java101.tp1.immutable,PersonImmutable.Builder,0,52,0,2,0,11,0,6,0,5
tp1,fr.univtln.bruno.samples.java101.tp1.immutable,PersonImmutable,68,19,10,0,8,7,10,3,5,3
tp1,fr.univtln.bruno.samples.java101.tp1.lombok,PersonLombok,3,0,0,0,2,0,1,0,1,0
tp1,fr.univtln.bruno.samples.java101.tp1.lombok,PersonLombokSecure,9,15,1,1,1,3,1,1,0,1
